3|emileaben|MIT
174|emileaben|Cogent
286|emileaben|KPN International
701|emileaben|Verizon
1103|JoachimOpdenakker|SURF
1104|JoachimOpdenakker|Nikhef
1199|JoachimOpdenakker|SPEELTUIN-AS
1273|emileaben|CWVodafone
1273|hellais|Vodafone Group
1299|emileaben|Arelion
2497|romain-fontugne|IIJ
2500|romain-fontugne|WIDE
2516|romain-fontugne|KDDI
2611|JoachimOpdenakker|BELNET
2907|romain-fontugne|SINET
2914|emileaben|NTT
2914|romain-fontugne|NTT-GIN
3209|hellais|Vodafone GmbH
3215|emileaben|Orange FR
3216|emileaben|VimpelCom
3257|emileaben|GTT
3265|emileaben|XS4ALL
3320|emileaben|Deutsche Telekom
3320|emileaben|DTAG
3333|emileaben|RIPE NCC
3352|emileaben|Telefonica
3356|emileaben|Lumen-Level3
4637|emileaben|Telstra
4713|romain-fontugne|NTT-OCN
5617|emileaben|Orange PL
6057|aguformoso|ANTEL
6762|emileaben|TI-Sparkle
6939|emileaben|Hurricane
7018|emileaben|AT&T
7922|emileaben|Comcast
8075|emileaben|Microsoft
8359|emileaben|MTS
8400|emileaben|Telekom-Serbia
8402|emileaben|Vimpelcom
8447|emileaben|A1 Austria
8585|emileaben|Crnogorski Telekom
9002|emileaben|RETN
9049|emileaben|ERTH-TRANSIT
9063|emileaben|VSE-NET
9605|romain-fontugne|NTT-Docomo
9824|emileaben|j:com
12322|emileaben|Free FR
12389|emileaben|Rostelecom
12714|emileaben|TI-Moscow
12958|emileaben|Tele2 RU
13335|emileaben|Cloudflare
13335|emileaben|CF
14061|emileaben|DigitalOcean
14593|emileaben|Starlink
14593|emileaben|SpaceX
15378|emileaben|Tele2 RU
15704|emileaben|Masmovil
15895|emileaben|Kyivstar
15895|emileaben|Київстар
15958|emileaben|Cetin
16345|emileaben|Vimpelcom
16509|emileaben|Amazon Cloud
16509|emileaben|AWS
16509|hellais|Amazon Web Services
17676|romain-fontugne|SoftBank
20485|emileaben|TransTelecom
20764|emileaben|Rascom
21859|emileaben|Zenlayer
24835|emileaben|Vodafone EG
24940|emileaben|Hetzner
24955|emileaben|UBN
25159|emileaben|Sonicduo
25513|emileaben|MGTS-USPD
28840|emileaben|TatTeeecom
30722|hellais|Vodafone Italia
31042|emileaben|SBB
31133|emileaben|MegaFon
31163|emileaben|MF-KAVKAZ
31213|emileaben|MF-NWGSM
35598|emileaben|INETCOM
35753|emileaben|Salaam-SA
41330|emileaben|Tele2-NOVOSIBIRSK
41937|emileaben|Supernova
42610|emileaben|NCNET
44143|emileaben|A1-Serbia
48092|emileaben|Tele2-NSB
48190|emileaben|Tele2-EKATERINBURG
396982|emileaben|Google Cloud
